"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"27364045",1.94002590782881,8.20132892148074,33.8612014301205,2.60423248401479e-17,2.07557328975978e-13,29.3866961982773
"27366166",-0.965069192967632,6.36368142428928,-26.6748830430093,1.52456415853074e-15,6.07538817174500e-12,25.7739632355409
"27366156",-0.978015943766498,6.18000401863759,-23.5127155286064,1.29077580693551e-14,2.73426265833958e-11,23.7367804192713
"27369635",-0.90366204078726,5.32452508893574,-23.1195498736984,1.71534671163085e-14,2.73426265833958e-11,23.3783483617571
"27366164",-1.01990239563628,4.83385205838952,-23.1269635621735,1.70610165520775e-14,2.73426265833958e-11,23.2633620739046
"27365948",2.01540444708673,4.53911644170145,22.3210590650146,3.1000454202856e-14,4.11789366661271e-11,22.5393993117722
"27366157",-0.862966624661693,6.07605590277027,-21.1153709865421,7.87465221644854e-14,8.96585402358499e-11,21.9805960820637
"27369726",-1.10944775135939,4.97512798261274,-20.583179299573,1.20732314097005e-13,1.20279567919141e-10,21.4737325208178
"27369697",-1.04451170304533,5.6196759682028,-19.963156110033,2.01246574037496e-13,1.44916720259719e-10,21.0472283253031
"27370707",0.606749025659635,7.60368117201752,19.9045905996453,2.11356852645682e-13,1.44916720259719e-10,21.0165179646117
"27366163",-0.734001068035302,6.39492977853446,-19.8666408010784,2.18193305284395e-13,1.44916720259719e-10,20.985843949098
"27369655",-0.858337976900028,5.22195889903741,-19.8996195123313,2.12239354313035e-13,1.44916720259719e-10,20.9662102722432
"27369684",-0.927921587981049,5.67604272880511,-19.6713528480949,2.57259315716794e-13,1.57719749712527e-10,20.8099801073825
"27365735",1.7310127424628,5.07885294517757,19.0974393065971,4.21133015432446e-13,2.37309929120041e-10,20.208388296725
"27368411",1.29475887664108,5.87644079192405,18.7738054904239,5.59410979659821e-13,2.78656594243048e-10,20.0351410306488
"27369653",-0.807212457147792,5.88821340057353,-18.5849100269709,6.61611138109982e-13,3.10178868866856e-10,19.884030171198
"27369656",-0.752863342747942,5.36220348629123,-18.1905472402873,9.43918487904916e-13,4.17946130477899e-10,19.5200932626193
"27369828",2.00874486630009,3.43193866184489,19.0300214954363,4.46630983287405e-13,2.37309929120041e-10,19.4608824819431
"27369694",-0.946275682592676,6.51820239849051,-18.0032482759711,1.12020555430552e-12,4.69896750937633e-10,19.3614223669242
"27369686",-0.86166126431503,5.34924349589143,-17.9151381519514,1.2148488327832e-12,4.84117259864103e-10,19.2745706174494
