"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"27364045",2.8306287477585,8.20132892148074,45.5470769500031,1.59429588662402e-19,1.27065382163935e-15,34.1889985938415
"27368271",-1.1799053365987,7.30976527906492,-36.0516542864073,8.89203228149734e-18,3.54347486417669e-14,30.8741487563288
"27370665",3.32081431381345,4.09009614754634,33.9211646157126,2.52649340996769e-17,6.71205082581416e-14,28.5138264511493
"27367670",2.8797387568973,7.42532735157999,30.0842026108281,1.96727601414183e-16,3.91979745817759e-13,27.8367767374169
"27368268",-1.24875382670786,6.24445622932729,-28.6805184862922,4.44278939814784e-16,5.90150525053971e-13,27.1033602150643
"27371326",-1.71546523083208,5.50457610614123,-28.7081929415026,4.37039813747588e-16,5.90150525053971e-13,27.0287575754681
"27366156",-1.11489347795776,6.18000401863759,-26.349378636189,1.87788179294273e-15,2.13810255567908e-12,25.7139217127973
"27369635",-1.03720422593763,5.32452508893574,-25.8893641320685,2.53182286580157e-15,2.242480822774e-12,25.3755456778434
"27369725",-1.62357145867183,8.87663838117229,-25.8890842861805,2.5322870018778e-15,2.242480822774e-12,25.3466532630912
"27369697",-1.37249911176982,5.6196759682028,-25.0028553467657,4.56896528611835e-15,3.64146533303633e-12,24.815380007395
"27369684",-1.21452161972642,5.67604272880511,-24.7212274679002,5.53446230828331e-15,4.00996950881982e-12,24.6329427955247
"27366166",-0.869895266362605,6.36368142428928,-24.1454317439748,8.24387169781996e-15,5.47530478596876e-12,24.252734058293
"27366157",-0.976444857301053,6.07605590277027,-23.5254862744476,1.27900419117488e-14,7.11186019080449e-12,23.814907098713
"27367388",-2.3977690657412,4.92906175391275,-23.6332491194953,1.18407236342716e-14,7.11186019080449e-12,23.7820782568875
"27369971",3.34754775554748,7.76966820802236,23.4621783918674,1.33849313503221e-14,7.11186019080449e-12,23.7459603478468
"27364242",-2.68612820183022,4.42795393507582,-23.3683099802562,1.43213506175517e-14,7.13382277636793e-12,23.5736129370956
"27366164",-1.02615152536785,4.83385205838952,-23.0763981022399,1.77021850124682e-14,8.2992008558454e-12,23.4480904134637
"27369655",-1.00832339933292,5.22195889903741,-22.7197138456711,2.30139198311774e-14,1.01900522808047e-11,23.2165416142367
"27369726",-1.24068312300189,4.97512798261274,-22.368479586557,2.99133803153007e-14,1.25478758480498e-11,22.9448361396335
"27371484",-1.5852747382122,8.56998613148187,-22.1372192818401,3.56255193598749e-14,1.41967694649102e-11,22.7914320473459
"27366163",-0.811920412636658,6.39492977853446,-21.7900033491358,4.64638480959863e-14,1.68325849693187e-11,22.5207122237226
"27364185",1.27305053639558,7.1349346921369,21.5777617024308,5.47614712762147e-14,1.8185371919643e-11,22.3544174625745
"27368891",-3.22268238690258,4.22144643742272,-21.9954221310625,3.96884567897853e-14,1.50627143149804e-11,22.3111600324489
"27369686",-1.06686178641039,5.34924349589143,-21.4096644217738,6.2439375378735e-14,1.99056728707407e-11,22.2342758092446
"27366554",-2.04452106158623,3.94067693289308,-21.7084393628683,4.94836391502859e-14,1.71471566968599e-11,22.2043143902276
"27366159",-1.0537717595996,5.15791609664591,-21.2419820450558,7.12389948601158e-14,2.18374918859663e-11,22.099948131752
"27372051",1.09970466169936,6.10831919350654,21.1511198583406,7.65456864467773e-14,2.25951526289191e-11,22.0247495745207
"27367470",-1.09470801847786,6.85029823400935,-20.7964387084685,1.01607313635853e-13,2.89217960599196e-11,21.730230357447
"27368813",-1.21820597296639,6.99921509528869,-20.6539966694817,1.13991501841707e-13,3.13280092992555e-11,21.6166751465918
"27366153",-1.13034814818518,5.54697060402255,-20.4951577233998,1.29702124711705e-13,3.4457531131743e-11,21.5058127172449
"27369653",-0.892860123377879,5.88821340057353,-20.2728435886664,1.55635550746458e-13,3.83592945561211e-11,21.313975218528
"27368621",-1.80296836805557,5.22472418314355,-20.2482195012933,1.5882769389611e-13,3.83592945561211e-11,21.3024087308191
"27368411",1.38209881258577,5.87644079192405,20.0890363221366,1.81203512325538e-13,4.24762350951334e-11,21.1705690377775
"27366648",-2.38620523918785,3.48378857104944,-20.2817167414489,1.54501934154564e-13,3.83592945561211e-11,20.9588747193058
"27369575",2.81617424645662,9.06009627073632,19.6697444673597,2.57610125941639e-13,5.86615058215675e-11,20.8172461394894
"27368276",-1.10857748744354,6.81493419400935,-19.4618133737391,3.07503418815693e-13,6.80778402211409e-11,20.6102983898052
"27366161",-1.03704878761656,6.63163404774412,-19.3090923849065,3.50592972085205e-13,7.55196212842995e-11,20.4752065886536
"27369703",-0.990806101124618,5.75964184982907,-19.2229644500032,3.77663095241061e-13,7.92098649755593e-11,20.4255820358415
"27370516",-0.898351818835427,8.1125199082195,-19.1498169740271,4.02385083879803e-13,8.22310030390264e-11,20.3578519989583
"27369723",-0.840318503638633,5.09366083413674,-19.0923401180223,4.23006804133875e-13,8.42841057236746e-11,20.329884749827
"27372165",2.57280224334455,4.89749836857541,18.9462687527258,4.80595123683416e-13,9.15191127725806e-11,20.1983461196127
"27369485",-0.78292533972458,6.64169422572173,-18.9422687916149,4.82283906706196e-13,9.15191127725806e-11,20.1524567012996
"27369694",-0.996733945393803,6.51820239849051,-18.8809629861583,5.08965410178107e-13,9.43361469562678e-11,20.0965445688116
"27369074",-0.875160772906534,7.65284886225622,-18.6833710064256,6.06087028243115e-13,1.09784400343128e-10,19.9266606829756
"27367945",0.929352619486353,5.88317424950977,18.4331202114606,7.57966187627458e-13,1.34244233675352e-10,19.7095749412456
"27369654",-0.88180384034325,6.47695594429077,-18.2417833149546,9.00975515350566e-13,1.56103801246609e-10,19.5160429420134
"27371839",1.05014697519631,5.83508429865622,18.1536422913132,9.76184410341269e-13,1.6535409901079e-10,19.4612442559048
"27369702",-1.40468515551726,6.08567322032189,-18.1091836975839,1.01660612942644e-12,1.6535409901079e-10,19.4143058111769
"27370909",0.800445479276268,6.30864425223889,18.1112753607332,1.01466535167951e-12,1.6535409901079e-10,19.3974401836191
"27366158",-1.14396228535874,7.07618122973738,-17.9392625477975,1.18812545720065e-12,1.89387197877783e-10,19.2341303044553
"27371337",-1.23617644268044,6.10498059471014,-17.8655363548998,1.27180591776123e-12,1.98750846363862e-10,19.1905604361604
"27368233",-1.97654515258306,4.07922890273596,-17.8198077311536,1.32681344963555e-12,2.0335967679991e-10,19.1325163073188
"27369667",-1.05441037701731,5.45138434001156,-17.7670757981395,1.39337515064253e-12,2.09532074540018e-10,19.1193604196488
"27365735",1.61878360776637,5.07885294517757,17.7025288416694,1.47967680793196e-12,2.1838933628181e-10,19.0859079411505
"27366472",-0.749206935129673,7.80425787218203,-17.6783699055145,1.51341243792764e-12,2.19307220550605e-10,18.997586544413
"27369666",-0.907411943222881,4.79381374692894,-17.6006845016923,1.6275008307546e-12,2.27564589844107e-10,18.9880387855235
"27369346",0.57898876276638,6.92373348519873,17.6382608630618,1.57122419255854e-12,2.23618871690921e-10,18.9345543397088
"27367808",2.24804392831626,7.68195361160154,17.5434112660242,1.71740191613759e-12,2.35994711579597e-10,18.901497766875
"27371138",-3.44983819976738,5.55193091093031,-17.4830424802964,1.8178541742616e-12,2.45564368963813e-10,18.8775807554818
"27369656",-0.72391138160289,5.36220348629123,-17.44075399324,1.89189951335636e-12,2.51307318690837e-10,18.8104751742347
"27369664",-1.36449411044229,5.52192065709625,-17.232356628864,2.30621355731199e-12,3.01320033635682e-10,18.6114857204952
